event_title,volume_usd,month
Will Elon Musk mention DOGE in his SNL appearance?,990014.357414,2021-05-01 00:00:00.000 UTC
Will Andrew Yang win the Democratic primary for Mayor of New York City in 2021?,808461.133604,2021-05-01 00:00:00.000 UTC
Will the Warriors or the Grizzlies win their NBA play-in tournament matchup?,511326.479080001,2021-05-01 00:00:00.000 UTC
Will NYC fully reopen by July 1?,401126.07489,2021-05-01 00:00:00.000 UTC
"Will Joe Biden be President of the USA on September 30, 2021?",384475.76144999993,2021-05-01 00:00:00.000 UTC
"Will Uniswap V3 be live on Optimism by June 15, 2021?",324153.31579599995,2021-05-01 00:00:00.000 UTC
Will total sales exceed $20M for the Cryptopunks auction at Christie’s?,240985.08894799993,2021-05-01 00:00:00.000 UTC
"Will Donald Trump be President of the USA on July 31, 2021?",236192.35448000004,2021-05-01 00:00:00.000 UTC
"Will EIP-1559 be implemented by July 31, 2021?",234396.119114,2021-05-01 00:00:00.000 UTC
Will the Warriors or the Lakers win their NBA play-in tournament matchup?,233970.156524,2021-05-01 00:00:00.000 UTC
"Will $MATIC (Polygon) be above $1 on May 20, 2021?",205142.75150599933,2021-05-01 00:00:00.000 UTC
Who will win Knicks vs. Hawks: Game 2?,185857.9482019999,2021-05-01 00:00:00.000 UTC
"Will Benjamin Netanyahu remain prime minister of Israel through June 30, 2021?",177280.594498,2021-05-01 00:00:00.000 UTC
Will the Nuggets or the Trail Blazers win their Round 1 NBA Playoff Series?,173697.02082399998,2021-05-01 00:00:00.000 UTC
Will Basquiat’s “Versus Medici” sell for more than $50 million at Sotheby’s?,160200.669734,2021-05-01 00:00:00.000 UTC
Will the 2021 Tokyo Olympics take place?,135885.89579,2021-05-01 00:00:00.000 UTC
Others,4.213411266107001e+06,2021-06-01 00:00:00.000 UTC
What will the price of $DOGE be on June 26?,2.7831927422540016e+06,2021-06-01 00:00:00.000 UTC
What will the price of $ETH be on June 22?,2.7231762817639974e+06,2021-06-01 00:00:00.000 UTC
What will the price of $MATIC be on June 17?,1.830482544116e+06,2021-06-01 00:00:00.000 UTC
Will Andrew Yang win the Democratic primary for Mayor of New York City in 2021?,1.3125354905160002e+06,2021-06-01 00:00:00.000 UTC
What will the price of $SOL (Solana) be on June 24?,1.2704363326720002e+06,2021-06-01 00:00:00.000 UTC
Will Eric Adams win the Democratic primary for Mayor of New York City in 2021?,1.212793295932e+06,2021-06-01 00:00:00.000 UTC
Will Floyd Mayweather beat Logan Paul in their rescheduled exhibition boxing match?,629134.6519819999,2021-06-01 00:00:00.000 UTC
Will the Clippers or the Mavericks win their Round 1 NBA Playoff Series?,538777.3163819981,2021-06-01 00:00:00.000 UTC
"Will Joe Biden be President of the USA on September 30, 2021?",382165.99584000005,2021-06-01 00:00:00.000 UTC
"Will EIP-1559 be implemented by July 31, 2021?",334450.569796,2021-06-01 00:00:00.000 UTC
(In-Game Trading) Who will win Suns v. Clippers: Western Conference Finals Game 5?,332998.300068,2021-06-01 00:00:00.000 UTC
"Will Donald Trump be President of the USA on September 30, 2021?",326302.194986,2021-06-01 00:00:00.000 UTC
"Will $DOGE reach $1 at any point before June 15, 2021?",325479.507158,2021-06-01 00:00:00.000 UTC
Will Kathryn Garcia win the Democratic primary for Mayor of New York City in 2021?,323143.1657039999,2021-06-01 00:00:00.000 UTC
Will NYC fully reopen by July 1?,301175.01995799993,2021-06-01 00:00:00.000 UTC
Will Robert Leshner or Anthony Pompliano win in their CryptoChamps chess match?,241029.42667200003,2021-06-01 00:00:00.000 UTC
"Will Joe Biden be President of the USA on July 31, 2021?",214823.262084,2021-06-01 00:00:00.000 UTC
